Dataset,Channel,Sparsifying Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
bciiv_1,CFC6,DCT,OMP,0.3042123331830669,0.003042123331830669,25.16541059517658,1.402850866317749
bciiv_1,CFC8,DCT,OMP,0.2530038295296443,0.0025300382952964428,27.338297805199705,1.402850866317749
bciiv_1,T7,DCT,OMP,0.2911385271920083,0.0029113852719200826,27.23274129764096,1.402850866317749
bciiv_1,C5,DCT,OMP,0.8538726199372898,0.008538726199372898,25.258637384002817,1.402850866317749
bciiv_1,C3,DCT,OMP,2.7981164751457532,0.02798116475145753,22.246903168182065,1.402850866317749
bciiv_1,C1,DCT,OMP,2.991315622805796,0.02991315622805796,21.871056233526854,1.402850866317749
bciiv_1,Cz,DCT,OMP,2.2596209913047303,0.022596209913047303,19.676249335995475,1.402850866317749
bciiv_1,C2,DCT,OMP,2.5737896339099073,0.02573789633909907,22.940846705596357,1.402850866317749
bciiv_1,C4,DCT,OMP,2.383097002374895,0.02383097002374895,21.497926192919884,1.402850866317749
bciiv_1,C6,DCT,OMP,0.5546889869995284,0.005546889869995284,24.969294932961873,1.402850866317749
bciiv_1,T8,DCT,OMP,0.2614361426138272,0.002614361426138272,27.24910277507162,1.402850866317749
bciiv_1,CCP7,DCT,OMP,0.9186190781432572,0.009186190781432572,23.877171452688223,1.402850866317749
bciiv_1,CCP5,DCT,OMP,4.052022601106901,0.04052022601106901,22.081007097953925,1.402850866317749
bciiv_1,CCP3,DCT,OMP,3.3975733199992884,0.033975733199992884,23.046271991488673,1.402850866317749
bciiv_1,CCP1,DCT,OMP,1.588807859075625,0.01588807859075625,21.06931058494711,1.402850866317749
bciiv_1,CCP2,DCT,OMP,2.3036490388312028,0.023036490388312028,22.804904024143752,1.402850866317749
bciiv_1,CCP4,DCT,OMP,0.3236206281223082,0.003236206281223082,25.40585713990182,1.402850866317749
bciiv_1,CCP6,DCT,OMP,0.2460807231672958,0.002460807231672958,26.141123103064526,1.402850866317749
bciiv_1,CCP8,DCT,OMP,0.22347730588686715,0.0022347730588686715,27.886152675209622,1.402850866317749
bciiv_1,CP5,DCT,OMP,3.1671583720519925,0.031671583720519925,21.187232261925608,1.402850866317749
bciiv_1,CP3,DCT,OMP,1.5916740270089151,0.01591674027008915,20.81801706248461,1.402850866317749
bciiv_1,CP1,DCT,OMP,3.315518184783253,0.03315518184783253,22.616820721472287,1.402850866317749
bciiv_1,CPz,DCT,OMP,1.9076008123062944,0.019076008123062944,20.842366463941666,1.402850866317749
bciiv_1,CP2,DCT,OMP,1.6931451099233645,0.016931451099233646,21.37953149218079,1.402850866317749
bciiv_1,CP4,DCT,OMP,0.6484705390169322,0.006484705390169322,23.839219544710147,1.402850866317749
bciiv_1,CP6,DCT,OMP,0.23944553833949558,0.0023944553833949557,26.21677495442128,1.402850866317749
bciiv_1,P5,DCT,OMP,2.9284891595495393,0.029284891595495393,19.31236351843023,1.402850866317749
bciiv_1,P3,DCT,OMP,2.0961552074664396,0.020961552074664398,18.27403474294787,1.402850866317749
bciiv_1,P1,DCT,OMP,1.8653868175427863,0.018653868175427864,22.106446786772903,1.402850866317749
