Dataset,Channel,Sensing Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
chbmit,P4-O2,Gaussian,OMP,155.04000890654558,1.5504000890654557,-0.0420719392674065,0.8005828857421875
chbmit,FP2-F8,Gaussian,OMP,75.73308632289827,0.7573308632289827,2.3214002500384994,0.8005828857421875
chbmit,F8-T8,Gaussian,OMP,39.74221340100472,0.3974221340100472,4.883097719055314,0.8005828857421875
chbmit,T8-P8,Gaussian,OMP,109.40164007841253,1.0940164007841253,0.9365680581733121,0.8005828857421875
chbmit,P8-O2,Gaussian,OMP,69.49028321132606,0.6949028321132606,2.357175225258227,0.8005828857421875
chbmit,FZ-CZ,Gaussian,OMP,67.77002922766054,0.6777002922766054,2.712038343095087,0.8005828857421875
chbmit,CZ-PZ,Gaussian,OMP,62.666748959655216,0.6266674895965522,2.8884361819485354,0.8005828857421875
chbmit,P7-T7,Gaussian,OMP,168.49132455691372,1.6849132455691371,0.3688632710369164,0.8005828857421875
chbmit,T7-FT9,Gaussian,OMP,146.7141607531031,1.467141607531031,0.5338282396062101,0.8005828857421875
chbmit,FT9-FT10,Gaussian,OMP,47.957229437326035,0.4795722943732604,3.9203997484413518,0.8005828857421875
chbmit,FT10-T8,Gaussian,OMP,59.89194649874266,0.5989194649874267,3.0584509700132907,0.8005828857421875
chbmit,FP1-F7,Gaussian,OMP,53.81304640072023,0.5381304640072023,3.3582650716031566,0.8209972381591797
chbmit,F7-T7,Gaussian,OMP,12.861112224665511,0.1286111222466551,9.259556119005786,0.8209972381591797
chbmit,T7-P7,Gaussian,OMP,8.631443749998368,0.08631443749998369,11.082793155882731,0.8209972381591797
chbmit,P7-O1,Gaussian,OMP,7.566040877591941,0.07566040877591941,11.324033138742323,0.8209972381591797
chbmit,FP1-F3,Gaussian,OMP,47.106521478091366,0.4710652147809137,3.9540057830122626,0.8209972381591797
chbmit,F3-C3,Gaussian,OMP,13.495985041086536,0.13495985041086536,9.074181752525961,0.8209972381591797
chbmit,C3-P3,Gaussian,OMP,6.768052842626214,0.06768052842626214,12.161067874867936,0.8209972381591797
chbmit,P3-O1,Gaussian,OMP,7.967441344200705,0.07967441344200706,11.35649005510604,0.8209972381591797
chbmit,FP2-F4,Gaussian,OMP,3.0832736969052195,0.030832736969052196,15.182908943722742,0.8209972381591797
chbmit,F4-C4,Gaussian,OMP,5.032066517324245,0.050320665173242456,13.297000615698384,0.8209972381591797
chbmit,C4-P4,Gaussian,OMP,6.680369420213932,0.06680369420213932,11.90302740111484,0.8209972381591797
chbmit,P4-O2,Gaussian,OMP,9.837337048008594,0.09837337048008594,10.23239779741999,0.8209972381591797
chbmit,FP2-F8,Gaussian,OMP,8.813682082320632,0.08813682082320633,10.919968625168629,0.8209972381591797
chbmit,F8-T8,Gaussian,OMP,4.359490196342558,0.04359490196342558,13.667043321768897,0.8209972381591797
chbmit,T8-P8,Gaussian,OMP,16.705421984814343,0.16705421984814342,7.970714308973417,0.8209972381591797
chbmit,P8-O2,Gaussian,OMP,13.713763220129186,0.13713763220129185,8.621241647362245,0.8209972381591797
chbmit,FZ-CZ,Gaussian,OMP,9.564103893877563,0.09564103893877564,10.47692252409393,0.8209972381591797
chbmit,CZ-PZ,Gaussian,OMP,7.483952696766698,0.07483952696766698,11.445706807748387,0.8209972381591797
chbmit,P7-T7,Gaussian,OMP,8.631443749998306,0.08631443749998306,11.077510985263126,0.8209972381591797
chbmit,T7-FT9,Gaussian,OMP,16.540301367162996,0.16540301367162996,8.168371032828077,0.8209972381591797
chbmit,FT9-FT10,Gaussian,OMP,11.531193080770546,0.11531193080770546,10.052394171438028,0.8209972381591797
chbmit,FT10-T8,Gaussian,OMP,16.962200426451084,0.16962200426451082,8.176556862375978,0.8209972381591797
chbmit,FP1-F7,Gaussian,OMP,59.51758941821799,0.5951758941821799,2.9502910200016697,0.7759256362915039
chbmit,F7-T7,Gaussian,OMP,95.81405582069827,0.9581405582069827,1.528822384610891,0.7759256362915039
chbmit,T7-P7,Gaussian,OMP,142.5837251191938,1.425837251191938,0.35225183475989735,0.7759256362915039
chbmit,P7-O1,Gaussian,OMP,68.23302299325363,0.6823302299325362,2.1733057953324773,0.7759256362915039
chbmit,FP1-F3,Gaussian,OMP,25.17538686874649,0.2517538686874649,6.2536858634932475,0.7759256362915039
chbmit,F3-C3,Gaussian,OMP,19.017270724329897,0.19017270724329896,7.531034338480904,0.7759256362915039
chbmit,C3-P3,Gaussian,OMP,35.49310279510375,0.35493102795103754,5.054265978112395,0.7759256362915039
chbmit,P3-O1,Gaussian,OMP,22.486242996182934,0.22486242996182934,6.99216944045337,0.7759256362915039
chbmit,FP2-F4,Gaussian,OMP,12.688414504727394,0.12688414504727394,9.362629622733378,0.7759256362915039
chbmit,F4-C4,Gaussian,OMP,30.094170480466932,0.3009417048046693,5.477682455727352,0.7759256362915039
chbmit,C4-P4,Gaussian,OMP,57.15874506667276,0.5715874506667276,3.8113112930265105,0.7759256362915039
chbmit,P4-O2,Gaussian,OMP,21.33074992500133,0.21330749925001333,7.094970659511205,0.7759256362915039
chbmit,FP2-F8,Gaussian,OMP,21.691794105243105,0.21691794105243106,6.721987136389211,0.7759256362915039
chbmit,F8-T8,Gaussian,OMP,82.11215486174743,0.8211215486174742,2.571933313543343,0.7759256362915039
chbmit,T8-P8,Gaussian,OMP,96.51131089739576,0.9651131089739575,1.588051899470047,0.7759256362915039
chbmit,P8-O2,Gaussian,OMP,44.78444551217651,0.44784445512176513,4.279649746027522,0.7759256362915039
chbmit,FZ-CZ,Gaussian,OMP,8.6785549987146,0.086785549987146,10.764001066824571,0.7759256362915039
chbmit,CZ-PZ,Gaussian,OMP,9.866351496686995,0.09866351496686995,10.257505955137427,0.7759256362915039
chbmit,P7-T7,Gaussian,OMP,142.58372511919336,1.4258372511919337,0.3516960674768781,0.7759256362915039
chbmit,T7-FT9,Gaussian,OMP,152.5344802822727,1.525344802822727,0.28494676885461306,0.7759256362915039
