Dataset,Channel,Sparsifying Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
bciiv_1,CCP8,DCT,OMP,1.160569246676837,0.01160569246676837,28.51649149016935,13.79850435256958
bciiv_1,CP5,DCT,OMP,1.2017803269201648,0.012017803269201648,19.24191799937425,13.79850435256958
bciiv_1,CP3,DCT,OMP,1.5193784578842042,0.015193784578842042,22.632596719210014,13.79850435256958
bciiv_1,CP1,DCT,OMP,0.5287014342373737,0.0052870143423737375,22.880141032400036,13.79850435256958
bciiv_1,CPz,DCT,OMP,0.6210619239496252,0.006210619239496252,22.317579694696917,13.79850435256958
bciiv_1,CP2,DCT,OMP,0.735894942117063,0.00735894942117063,22.29971715768716,13.79850435256958
bciiv_1,CP4,DCT,OMP,2.6319245252143912,0.02631924525214391,24.899704419805833,13.79850435256958
bciiv_1,CP6,DCT,OMP,0.3692214846041097,0.003692214846041097,27.53318677409157,13.79850435256958
bciiv_1,P5,DCT,OMP,0.9564074648547256,0.009564074648547256,20.609076644367157,13.79850435256958
bciiv_1,P3,DCT,OMP,1.247061298335433,0.012470612983354331,20.725521467856037,13.79850435256958
bciiv_1,P1,DCT,OMP,0.6400385585926639,0.006400385585926639,24.2860095118725,13.79850435256958
bciiv_1,Pz,DCT,OMP,1.3785271152796053,0.013785271152796052,22.622112387087206,13.79850435256958
bciiv_1,P2,DCT,OMP,0.7988332663464475,0.007988332663464475,21.786700225286012,13.79850435256958
bciiv_1,P4,DCT,OMP,0.8667714314648984,0.008667714314648984,21.49191092439946,13.79850435256958
bciiv_1,P6,DCT,OMP,0.28686263019864583,0.0028686263019864584,26.768246303644215,13.79850435256958
bciiv_1,PO1,DCT,OMP,0.7577603045006185,0.007577603045006185,21.814613951367363,13.79850435256958
bciiv_1,PO2,DCT,OMP,1.2568409748373102,0.012568409748373102,21.527086641671957,13.79850435256958
bciiv_1,O1,DCT,OMP,1.3379766078389108,0.013379766078389109,24.46925829679087,13.79850435256958
bciiv_1,O2,DCT,OMP,0.7409809421603852,0.007409809421603852,28.243296595697643,13.79850435256958
bciiv_1,AF3,DCT,OMP,0.5857573609842317,0.005857573609842317,28.477760411635135,12.620872497558594
bciiv_1,AF4,DCT,OMP,0.47453764046771546,0.004745376404677155,27.573479331129263,12.620872497558594
bciiv_1,F5,DCT,OMP,0.8209367069966741,0.008209367069966741,27.181362596594163,12.620872497558594
bciiv_1,F3,DCT,OMP,0.4056216303629967,0.004056216303629967,27.694193977673752,12.620872497558594
bciiv_1,F1,DCT,OMP,0.3280036134637154,0.0032800361346371544,26.918344907856586,12.620872497558594
bciiv_1,Fz,DCT,OMP,0.36257816206931537,0.003625781620693154,25.300105072535818,12.620872497558594
bciiv_1,F2,DCT,OMP,0.4181551209368292,0.004181551209368292,26.759201092194655,12.620872497558594
bciiv_1,F4,DCT,OMP,0.5337331481974693,0.005337331481974693,29.23541307742527,12.620872497558594
bciiv_1,F6,DCT,OMP,0.4836419880844958,0.004836419880844958,27.167125488384695,12.620872497558594
bciiv_1,FC5,DCT,OMP,0.5955016625195474,0.005955016625195474,25.269642607648642,12.620872497558594
bciiv_1,FC3,DCT,OMP,0.5327584474401781,0.005327584474401781,26.775962696262738,12.620872497558594
bciiv_1,FC1,DCT,OMP,0.3575088734372853,0.003575088734372853,26.2877804939367,12.620872497558594
bciiv_1,FCz,DCT,OMP,0.38443516181841514,0.003844351618184151,24.506053581283002,12.620872497558594
bciiv_1,FC2,DCT,OMP,0.3487946567351638,0.003487946567351638,25.88213143874782,12.620872497558594
bciiv_1,FC4,DCT,OMP,0.9910625773464496,0.009910625773464497,27.920687360905067,12.620872497558594
bciiv_1,FC6,DCT,OMP,0.2488609837452988,0.002488609837452988,26.033965609005328,12.620872497558594
